Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           2.6876       2.6876       0.0000     0.0
0.0010           2.6883       2.6876       0.0007     0.8
0.0020           2.6893       2.6876       0.0017     1.9
0.0030           2.6899       2.6876       0.0023     2.7
0.0040           2.6902       2.6876       0.0026     3.0
0.0050           2.6897       2.6876       0.0021     2.4
0.0060           2.6901       2.6876       0.0024     2.8
0.0070           2.6906       2.6877       0.0029     3.4
0.0080           2.6903       2.6877       0.0026     3.0
0.0090           2.6907       2.6877       0.0030     3.5
0.0100           2.6916       2.6877       0.0039     4.5
0.0110           2.6928       2.6877       0.0050     5.9
0.0120           2.6919       2.6877       0.0042     4.9
0.0130           2.6925       2.6878       0.0047     5.5
0.0140           2.6923       2.6878       0.0045     5.2
0.0150           2.6937       2.6878       0.0059     6.8
0.0160           2.6934       2.6879       0.0055     6.4
0.0170           2.6938       2.6879       0.0059     6.9
0.0180           2.6941       2.6879       0.0062     7.2
0.0190           2.6952       2.6880       0.0072     8.4
0.0200           2.6964       2.6880       0.0084     9.7
0.0210           2.6962       2.6881       0.0081     9.4
0.0220           2.6959       2.6881       0.0078     9.1
0.0230           2.6965       2.6882       0.0083     9.6
0.0240           2.6975       2.6883       0.0093    10.8
0.0250           2.6979       2.6883       0.0096    11.1
0.0260           2.6978       2.6884       0.0094    10.9
0.0270           2.6969       2.6885       0.0085     9.8
0.0280           2.6969       2.6886       0.0084     9.7
0.0290           2.6983       2.6887       0.0096    11.2
0.0300           2.6974       2.6887       0.0087    10.1
0.0310           2.6994       2.6888       0.0106    12.3
0.0320           2.6998       2.6890       0.0108    12.6
0.0330           2.7007       2.6891       0.0116    13.5
0.0340           2.6996       2.6892       0.0105    12.1
0.0350           2.7007       2.6893       0.0114    13.2
0.0360           2.7030       2.6895       0.0135    15.7
0.0370           2.7013       2.6896       0.0117    13.5
0.0380           2.7023       2.6898       0.0125    14.5
0.0390           2.7016       2.6899       0.0117    13.6
0.0400           2.7016       2.6901       0.0115    13.4
0.0410           2.7023       2.6903       0.0120    13.9
0.0420           2.7015       2.6905       0.0110    12.8
0.0430           2.7015       2.6906       0.0109    12.6
0.0440           2.7026       2.6908       0.0118    13.7
0.0450           2.7046       2.6910       0.0136    15.7
