Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         136.1588     133.3434       2.8154   359.0
0.0010         128.2581     106.6986      21.5595  2749.3
0.0020         129.4335      92.9633      36.4702  4650.8
0.0030         129.2846      86.3072      42.9773  5480.6
0.0040         129.6405      84.1547      45.4858  5800.5
0.0050         130.0157      84.6890      45.3267  5780.2
0.0060         130.3126      84.4122      45.9003  5853.3
0.0070         130.0520      82.6033      47.4487  6050.8
0.0080         130.0149      81.1148      48.9000  6235.8
0.0090         129.7561      79.8608      49.8952  6362.8
0.0100         129.5966      79.8705      49.7261  6341.2
0.0110         129.4438      80.3195      49.1243  6264.4
0.0120         129.3292      80.8146      48.5146  6186.7
0.0130         129.3148      81.1590      48.1557  6140.9
0.0140         129.2732      81.2197      48.0535  6127.9
0.0150         129.1939      80.8183      48.3756  6169.0
0.0160         129.0460      80.0710      48.9750  6245.4
0.0170         128.9052      79.4509      49.4543  6306.5
0.0180         128.7718      79.2435      49.5282  6315.9
0.0190         128.6007      79.4573      49.1434  6266.9
0.0200         128.5320      79.9494      48.5826  6195.4
0.0210         128.4648      80.3504      48.1145  6135.7
0.0220         128.3135      80.3567      47.9569  6115.6
0.0230         128.1968      80.0150      48.1818  6144.3
0.0240         128.0383      79.6007      48.4376  6176.9
0.0250         127.9054      79.2992      48.6062  6198.4
0.0260         127.8427      79.1462      48.6965  6209.9
0.0270         127.7347      78.9223      48.8124  6224.7
0.0280         127.5769      78.8746      48.7023  6210.6
0.0290         127.5126      79.4008      48.1118  6135.3
0.0300         127.6750      80.1158      47.5592  6064.9
0.0310         127.5391      80.3634      47.1757  6016.0
0.0320         127.5322      80.6803      46.8519  5974.7
0.0330         127.4414      81.1677      46.2737  5900.9
0.0340         127.3898      81.6365      45.7533  5834.6
0.0350         127.3505      81.8575      45.4930  5801.4
0.0360         127.1601      81.6524      45.5077  5803.2
0.0370         126.9930      81.6894      45.3037  5777.2
0.0380         127.0166      81.9134      45.1032  5751.7
0.0390         127.0678      81.6802      45.3876  5787.9
0.0400         126.7867      80.9039      45.8829  5851.1
0.0410         126.6617      80.2787      46.3830  5914.9
0.0420         126.5970      80.2345      46.3625  5912.3
0.0430         126.4675      80.6219      45.8455  5846.3
0.0440         126.4536      81.0748      45.3787  5786.8
0.0450         126.4327      81.3172      45.1155  5753.2
0.0460         126.2599      80.9931      45.2668  5772.5
0.0470         126.0793      80.3591      45.7203  5830.4
0.0480         126.1180      79.7594      46.3586  5911.8
0.0490         126.0541      79.3623      46.6918  5954.2
0.0500         126.0177      79.2904      46.7273  5958.8
0.0510         125.9647      79.6307      46.3341  5908.6
0.0520         125.8475      79.6743      46.1732  5888.1
0.0530         125.5922      79.2137      46.3785  5914.3
0.0540         125.4918      79.0271      46.4647  5925.3
0.0550         125.5831      79.2851      46.2981  5904.0
0.0560         125.3444      79.4984      45.8460  5846.4
0.0570         125.4628      80.7203      44.7425  5705.7
0.0580         125.7480      82.0623      43.6857  5570.9
0.0590         125.6656      81.6877      43.9779  5608.2
0.0600         125.5294      80.3906      45.1388  5756.2
0.0610         125.3521      79.6034      45.7487  5834.0
0.0620         125.2259      79.5244      45.7014  5827.9
0.0630         125.0459      80.5415      44.5044  5675.3
0.0640         125.6801      82.9178      42.7623  5453.1
0.0650         125.2072      81.7090      43.4982  5547.0
0.0660         125.0628      79.8117      45.2510  5770.5
0.0670         125.0499      79.6536      45.3962  5789.0
0.0680         124.9942      79.7206      45.2736  5773.4
0.0690         124.9756      79.7323      45.2433  5769.5
0.0700         124.9987      79.6797      45.3190  5779.2
0.0710         124.9101      79.6045      45.3056  5777.5
0.0720         124.8041      79.6191      45.1850  5762.1
0.0730         124.6330      79.6900      44.9430  5731.2
0.0740         124.5188      79.7932      44.7256  5703.5
0.0750         124.4370      79.8732      44.5638  5682.9
0.0760         124.3423      79.7441      44.5982  5687.3
0.0770         124.1832      79.4668      44.7164  5702.3
0.0780         124.1614      79.2967      44.8647  5721.3
0.0790         124.0112      79.2280      44.7832  5710.9
0.0800         123.8745      79.1741      44.7005  5700.3
0.0810         123.8297      79.1545      44.6752  5697.1
0.0820         123.6363      79.1553      44.4810  5672.3
0.0830         123.6026      79.4141      44.1885  5635.0
0.0840         123.5108      80.1404      43.3704  5530.7
0.0850         123.4997      80.8920      42.6077  5433.4
0.0860         123.5622      80.4377      43.1245  5499.3
0.0870         123.4500      79.4706      43.9794  5608.4
0.0880         123.4333      78.9492      44.4841  5672.7
0.0890         123.3953      78.8256      44.5697  5683.6
0.0900         123.3675      78.9450      44.4226  5664.9
0.0910         123.1559      79.2336      43.9223  5601.1
0.0920         123.0876      79.6374      43.4502  5540.9
0.0930         123.0756      80.0496      43.0260  5486.8
0.0940         122.9821      80.3412      42.6409  5437.7
0.0950         122.8594      80.4479      42.4115  5408.4
0.0960         122.6753      80.4677      42.2076  5382.4
0.0970         122.5542      80.6080      41.9462  5349.1
0.0980         122.5255      80.7820      41.7436  5323.2
0.0990         122.3891      80.5527      41.8364  5335.1
0.1000         122.2535      80.2585      41.9950  5355.3
0.1010         122.1741      80.2574      41.9167  5345.3
0.1020         122.2356      80.4051      41.8305  5334.3
0.1030         122.0977      80.5646      41.5331  5296.4
0.1040         121.9680      80.6761      41.2919  5265.6
0.1050         121.7633      80.6796      41.0837  5239.1
0.1060         121.8505      80.5212      41.3293  5270.4
0.1070         121.7228      80.2510      41.4718  5288.6
0.1080         121.6506      79.9795      41.6711  5314.0
0.1090         121.5180      79.7930      41.7250  5320.9
0.1100         121.2714      79.7445      41.5269  5295.6
0.1110         121.1738      79.8217      41.3520  5273.3
0.1120         121.1866      79.9416      41.2450  5259.7
0.1130         121.1304      79.9535      41.1769  5251.0
0.1140         121.0574      79.7478      41.3096  5267.9
0.1150         120.8294      79.3732      41.4562  5286.6
0.1160         120.8495      79.0276      41.8219  5333.2
0.1170         120.7234      78.9106      41.8128  5332.1
0.1180         120.6086      79.1205      41.4881  5290.6
0.1190         120.5245      79.6194      40.9051  5216.3
0.1200         120.5117      80.1987      40.3130  5140.8
0.1210         120.5474      80.4794      40.0680  5109.6
0.1220         120.2962      80.6082      39.6880  5061.1
0.1230         120.3833      81.0760      39.3073  5012.6
0.1240         120.3286      81.2938      39.0348  4977.8
0.1250         120.1731      80.8554      39.3177  5013.9
0.1260         120.1030      80.1695      39.9336  5092.4
0.1270         120.0452      79.6380      40.4072  5152.8
0.1280         119.9215      79.3558      40.5656  5173.0
0.1290         119.8978      79.1950      40.7029  5190.5
0.1300         119.8877      79.1552      40.7325  5194.3
0.1310         119.8477      79.3175      40.5302  5168.5
0.1320         119.7099      79.7129      39.9970  5100.5
0.1330         119.7100      80.4642      39.2458  5004.7
0.1340         119.8438      81.9547      37.8891  4831.7
0.1350         119.9314      83.7407      36.1908  4615.1
0.1360         119.8903      84.9600      34.9303  4454.4
0.1370         119.9519      84.8879      35.0639  4471.4
0.1380         119.7140      83.2088      36.5052  4655.2
0.1390         119.4905      81.3627      38.1278  4862.1
0.1400         119.3820      80.4519      38.9301  4964.5
0.1410         119.3024      80.3200      38.9824  4971.1
0.1420         119.2686      80.3008      38.9677  4969.2
0.1430         119.1403      80.1432      38.9971  4973.0
0.1440         119.0342      80.1338      38.9005  4960.7
0.1450         118.9024      80.8188      38.0836  4856.5
0.1460         118.9578      83.0104      35.9473  4584.1
0.1470         119.3687      85.4158      33.9529  4329.7
0.1480         118.9944      83.9662      35.0282  4466.9
0.1490         118.8992      82.6394      36.2599  4623.9
0.1500         118.9332      83.2178      35.7154  4554.5
0.1510         119.0343      84.3902      34.6441  4417.9
