Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         136.1588     133.3434       2.8154   351.3
0.0010         128.2449     106.5563      21.6886  2706.3
0.0020         129.2939      92.9516      36.3423  4534.8
0.0030         129.2610      86.2770      42.9839  5363.5
0.0040         129.6351      84.0071      45.6279  5693.4
0.0050         129.9280      84.3613      45.5666  5685.8
0.0060         130.1563      84.2358      45.9205  5729.9
0.0070         129.8505      82.5937      47.2569  5896.7
0.0080         129.8626      81.2818      48.5808  6061.9
0.0090         129.7427      80.3369      49.4058  6164.9
0.0100         129.7092      80.4910      49.2183  6141.4
0.0110         129.6474      80.9878      48.6596  6071.7
0.0120         129.5651      81.4607      48.1044  6002.5
0.0130         129.6523      81.7652      47.8871  5975.3
0.0140         129.7137      81.7877      47.9260  5980.2
0.0150         129.6109      81.3908      48.2202  6016.9
0.0160         129.4547      80.6953      48.7595  6084.2
0.0170         129.3547      80.1440      49.2108  6140.5
0.0180         129.2912      79.9919      49.2993  6151.6
0.0190         129.1625      80.1936      48.9689  6110.3
0.0200         129.1950      80.6150      48.5800  6061.8
0.0210         129.0875      80.9623      48.1252  6005.0
0.0220         128.9803      80.9717      48.0086  5990.5
0.0230         128.8534      80.6618      48.1916  6013.3
0.0240         128.6695      80.3230      48.3465  6032.7
0.0250         128.6250      80.0939      48.5311  6055.7
0.0260         128.5817      79.9860      48.5957  6063.8
0.0270         128.5470      79.7634      48.7836  6087.2
0.0280         128.3696      79.5692      48.8004  6089.3
0.0290         128.3637      79.9080      48.4556  6046.3
0.0300         128.4526      80.3872      48.0654  5997.6
0.0310         128.3663      80.4316      47.9347  5981.3
0.0320         128.1903      80.6455      47.5447  5932.6
0.0330         128.0119      81.0604      46.9514  5858.6
0.0340         127.8174      81.3649      46.4524  5796.3
0.0350         127.8589      81.3622      46.4967  5801.8
0.0360         127.6899      80.8623      46.8275  5843.1
0.0370         127.4276      80.8363      46.5913  5813.6
0.0380         127.5079      81.1457      46.3622  5785.1
0.0390         127.3707      81.0612      46.3096  5778.5
0.0400         127.3034      80.8814      46.4220  5792.5
0.0410         127.1350      80.6474      46.4876  5800.7
0.0420         127.0829      80.9041      46.1788  5762.2
0.0430         126.9487      81.5776      45.3711  5661.4
0.0440         126.9551      82.2159      44.7392  5582.5
0.0450         126.9137      81.8324      45.0813  5625.2
0.0460         126.6905      80.7136      45.9769  5737.0
0.0470         126.5478      80.0143      46.5335  5806.4
0.0480         126.3929      79.9712      46.4217  5792.5
0.0490         126.2637      80.5882      45.6755  5699.4
0.0500         126.3978      81.2973      45.1005  5627.6
0.0510         125.9528      80.3174      45.6354  5694.4
0.0520         125.9600      79.6094      46.3506  5783.6
0.0530         125.8628      79.5434      46.3194  5779.7
0.0540         125.8012      79.7909      46.0103  5741.2
0.0550         126.2965      80.6231      45.6734  5699.1
0.0560         125.5533      79.6865      45.8667  5723.2
0.0570         125.7160      80.2121      45.5039  5678.0
0.0580         126.0958      82.1080      43.9878  5488.8
0.0590         125.8598      82.0127      43.8471  5471.2
0.0600         125.5541      80.5260      45.0280  5618.6
0.0610         125.4295      79.8752      45.5543  5684.3
0.0620         125.3407      80.2683      45.0724  5624.1
0.0630         125.5214      81.3951      44.1263  5506.1
0.0640         125.7372      81.9430      43.7942  5464.6
0.0650         125.0367      80.7932      44.2434  5520.7
0.0660         125.1175      80.7615      44.3560  5534.7
0.0670         124.9403      81.2377      43.7026  5453.2
0.0680         124.7093      82.5963      42.1130  5254.9
0.0690         125.4965      84.1414      41.3551  5160.3
0.0700         124.6061      81.7738      42.8323  5344.6
0.0710         124.7907      81.2842      43.5066  5428.7
0.0720         124.7692      81.2803      43.4889  5426.5
0.0730         124.6954      81.3379      43.3574  5410.1
0.0740         124.5222      81.2486      43.2736  5399.7
0.0750         124.5047      81.2402      43.2644  5398.5
0.0760         124.4168      81.3268      43.0900  5376.8
0.0770         124.3903      81.3993      42.9910  5364.4
0.0780         124.3526      81.3719      42.9807  5363.1
0.0790         124.2281      81.1745      43.0536  5372.2
0.0800         124.1557      80.9197      43.2360  5395.0
0.0810         124.1227      80.7295      43.3932  5414.6
0.0820         124.0537      80.7224      43.3313  5406.9
0.0830         123.9719      81.3056      42.6663  5323.9
0.0840         124.1624      82.2068      41.9556  5235.2
0.0850         123.8738      81.8802      41.9936  5240.0
0.0860         123.7812      81.7754      42.0058  5241.5
0.0870         123.7680      81.9497      41.8183  5218.1
0.0880         123.5322      82.0042      41.5280  5181.9
0.0890         123.4092      81.9611      41.4481  5171.9
0.0900         123.3240      81.9003      41.4237  5168.8
0.0910         123.2189      81.7931      41.4258  5169.1
0.0920         123.1901      81.7760      41.4141  5167.6
0.0930         123.1222      81.6471      41.4751  5175.3
0.0940         122.9698      81.0709      41.8989  5228.1
0.0950         122.8600      80.7174      42.1427  5258.6
0.0960         122.8077      80.6025      42.2052  5266.4
0.0970         122.7423      80.5536      42.1888  5264.3
0.0980         122.5982      80.4969      42.1013  5253.4
0.0990         122.5076      80.4015      42.1061  5254.0
0.1000         122.4368      80.2818      42.1550  5260.1
0.1010         122.3368      80.1765      42.1603  5260.8
0.1020         122.3064      80.1186      42.1878  5264.2
0.1030         122.2245      80.0843      42.1402  5258.2
0.1040         122.0631      80.0557      42.0074  5241.7
0.1050         121.9543      80.1193      41.8350  5220.2
0.1060         121.9126      80.3208      41.5918  5189.8
0.1070         121.8409      80.6395      41.2014  5141.1
0.1080         121.7036      81.0090      40.6946  5077.9
0.1090         121.6644      81.4617      40.2027  5016.5
0.1100         121.6374      82.0012      39.6362  4945.8
0.1110         121.4879      82.3750      39.1129  4880.5
0.1120         121.3726      82.3529      39.0196  4868.9
0.1130         121.2542      82.1715      39.0827  4876.7
0.1140         121.2389      82.2109      39.0281  4869.9
0.1150         121.0652      82.7756      38.2896  4777.8
0.1160         120.9721      84.5187      36.4534  4548.6
0.1170         121.3123      85.6206      35.6917  4453.6
0.1180         120.9122      83.2604      37.6518  4698.2
0.1190         120.8782      81.9193      38.9589  4861.3
0.1200         120.9629      81.4245      39.5385  4933.6
0.1210         120.9747      81.2956      39.6791  4951.1
0.1220         120.9548      81.2727      39.6821  4951.5
0.1230         121.0307      81.0728      39.9578  4985.9
0.1240         120.9240      80.7873      40.1367  5008.3
0.1250         120.8519      80.7442      40.1077  5004.6
0.1260         120.7813      80.9252      39.8560  4973.2
0.1270         120.6950      81.0175      39.6775  4950.9
0.1280         120.7399      81.0348      39.7051  4954.4
0.1290         120.8758      81.1715      39.7044  4954.3
0.1300         120.7582      81.3749      39.3833  4914.2
0.1310         120.7728      81.7246      39.0482  4872.4
0.1320         120.5096      81.0172      39.4924  4927.9
0.1330         120.5042      80.4226      40.0816  5001.4
0.1340         120.4256      80.1000      40.3256  5031.8
0.1350         120.3144      79.7817      40.5327  5057.7
0.1360         120.1870      79.6603      40.5266  5056.9
0.1370         120.1067      79.8123      40.2943  5027.9
0.1380         120.0573      80.2073      39.8499  4972.5
0.1390         119.9862      81.0750      38.9112  4855.3
0.1400         120.0675      82.7974      37.2701  4650.6
0.1410         120.2315      84.8484      35.3831  4415.1
0.1420         120.1889      84.9121      35.2768  4401.8
0.1430         119.8685      83.0162      36.8524  4598.4
0.1440         119.8002      81.6672      38.1331  4758.2
0.1450         119.8187      81.2043      38.6144  4818.3
0.1460         119.8546      81.2454      38.6092  4817.6
