Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          86.0373      76.9044       9.1329  1261.7
0.0010          85.9682      76.9143       9.0539  1250.8
0.0020          85.9711      76.9075       9.0636  1252.1
0.0030          85.9947      76.8875       9.1072  1258.2
0.0040          86.0302      76.8567       9.1735  1267.3
0.0050          86.0279      76.8189       9.2090  1272.2
0.0060          85.9925      76.7802       9.2122  1272.7
0.0070          85.9937      76.7461       9.2476  1277.5
0.0080          85.9724      76.7197       9.2526  1278.2
0.0090          85.9600      76.7053       9.2547  1278.5
0.0100          85.9416      76.7044       9.2372  1276.1
0.0110          85.9086      76.7162       9.1924  1269.9
0.0120          85.8766      76.7367       9.1399  1262.7
0.0130          85.8727      76.7604       9.1123  1258.9
0.0140          85.8360      76.7827       9.0533  1250.7
0.0150          85.8302      76.8006       9.0297  1247.4
0.0160          85.8374      76.8142       9.0233  1246.6
0.0170          85.8323      76.8196       9.0128  1245.1
0.0180          85.8403      76.8006       9.0397  1248.8
0.0190          85.8319      76.7400       9.0919  1256.0
0.0200          85.8047      76.6364       9.1683  1266.6
0.0210          85.8333      76.5033       9.3299  1288.9
0.0220          85.7787      76.3701       9.4086  1299.8
0.0230          85.8107      76.2680       9.5427  1318.3
0.0240          85.8116      76.2158       9.5957  1325.6
0.0250          85.8097      76.2127       9.5971  1325.8
0.0260          85.7756      76.2437       9.5320  1316.8
0.0270          85.7533      76.2905       9.4628  1307.3
0.0280          85.7796      76.3386       9.4410  1304.3
0.0290          85.7051      76.3821       9.3230  1288.0
0.0300          85.6608      76.4196       9.2412  1276.7
0.0310          85.6418      76.4511       9.1906  1269.7
0.0320          85.6417      76.4778       9.1639  1266.0
0.0330          85.6610      76.4986       9.1623  1265.8
0.0340          85.6744      76.5133       9.1611  1265.6
0.0350          85.6059      76.5203       9.0855  1255.2
0.0360          85.5682      76.5188       9.0494  1250.2
0.0370          85.4865      76.5099       8.9765  1240.1
0.0380          85.5344      76.4932       9.0413  1249.0
0.0390          85.5264      76.4718       9.0546  1250.9
0.0400          85.5114      76.4473       9.0641  1252.2
0.0410          85.5061      76.4229       9.0832  1254.8
0.0420          85.4820      76.4037       9.0783  1254.2
0.0430          85.5157      76.3963       9.1194  1259.8
0.0440          85.4888      76.4039       9.0849  1255.1
0.0450          85.4259      76.4302       8.9956  1242.7
0.0460          85.4130      76.4749       8.9381  1234.8
0.0470          85.3738      76.5356       8.8382  1221.0
0.0480          85.4505      76.6107       8.8398  1221.2
0.0490          85.4106      76.6977       8.7129  1203.7
0.0500          85.4158      76.7920       8.6238  1191.4
0.0510          85.4551      76.8893       8.5658  1183.4
0.0520          85.4362      76.9851       8.4511  1167.5
0.0530          85.4205      77.0728       8.3477  1153.2
0.0540          85.3252      77.1451       8.1801  1130.1
0.0550          85.3296      77.1964       8.1332  1123.6
0.0560          85.2840      77.2235       8.0605  1113.5
0.0570          85.3003      77.2255       8.0747  1115.5
0.0580          85.2821      77.2044       8.0777  1115.9
0.0590          85.3032      77.1658       8.1374  1124.2
0.0600          85.2732      77.1147       8.1585  1127.1
0.0610          85.2449      77.0558       8.1891  1131.3
0.0620          85.2088      76.9985       8.2102  1134.2
0.0630          85.1448      76.9480       8.1967  1132.4
0.0640          85.1469      76.9059       8.2410  1138.5
0.0650          85.1112      76.8712       8.2400  1138.3
0.0660          85.1131      76.8389       8.2742  1143.1
0.0670          85.0901      76.8037       8.2863  1144.8
0.0680          85.0759      76.7600       8.3159  1148.8
0.0690          85.0415      76.7069       8.3346  1151.4
0.0700          85.0084      76.6443       8.3642  1155.5
0.0710          84.9767      76.5762       8.4005  1160.5
0.0720          84.9517      76.5038       8.4478  1167.1
0.0730          84.9557      76.4303       8.5253  1177.8
0.0740          84.9540      76.3560       8.5979  1187.8
0.0750          84.9356      76.2810       8.6547  1195.6
0.0760          84.9132      76.2025       8.7107  1203.4
0.0770          84.9568      76.1196       8.8372  1220.9
0.0780          84.9258      76.0353       8.8906  1228.2
0.0790          84.9877      75.9560       9.0318  1247.7
0.0800          84.9640      75.8869       9.0771  1254.0
0.0810          84.9454      75.8349       9.1106  1258.6
0.0820          84.9436      75.8043       9.1393  1262.6
0.0830          84.9347      75.7963       9.1384  1262.5
0.0840          84.9111      75.8073       9.1038  1257.7
0.0850          84.9217      75.8325       9.0893  1255.7
0.0860          84.9043      75.8665       9.0378  1248.6
0.0870          84.9055      75.9029       9.0026  1243.7
0.0880          84.9192      75.9389       8.9802  1240.6
0.0890          84.8726      75.9738       8.8988  1229.4
0.0900          84.8864      76.0091       8.8772  1226.4
0.0910          84.8625      76.0460       8.8165  1218.0
0.0920          84.8742      76.0858       8.7884  1214.1
0.0930          84.8938      76.1275       8.7663  1211.1
0.0940          84.9305      76.1710       8.7595  1210.1
0.0950          84.8904      76.2176       8.6728  1198.1
0.0960          84.8208      76.2682       8.5526  1181.5
0.0970          84.7895      76.3228       8.4667  1169.7
0.0980          84.7718      76.3823       8.3895  1159.0
0.0990          84.7880      76.4501       8.3380  1151.9
0.1000          84.6713      76.5264       8.1450  1125.2
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          88.1212      86.0309       2.0903   288.8
0.0010          88.1135      85.8436       2.2699   313.6
0.0020          88.1096      85.1325       2.9771   411.3
