Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.4819       5.4819       0.0000     0.0
0.0010           5.4866       5.4819       0.0047     0.7
0.0020           5.4901       5.4819       0.0083     1.2
0.0030           5.4944       5.4818       0.0126     1.8
0.0040           5.4988       5.4816       0.0172     2.5
0.0050           5.5033       5.4812       0.0221     3.2
0.0060           5.5087       5.4806       0.0281     4.0
0.0070           5.5102       5.4795       0.0307     4.4
0.0080           5.5128       5.4781       0.0347     5.0
0.0090           5.5152       5.4762       0.0390     5.6
0.0100           5.5196       5.4736       0.0461     6.6
0.0110           5.5235       5.4701       0.0534     7.7
0.0120           5.5242       5.4655       0.0586     8.4
0.0130           5.5250       5.4596       0.0654     9.4
0.0140           5.5343       5.4518       0.0825    11.8
0.0150           5.5394       5.4417       0.0977    14.0
0.0160           5.5434       5.4290       0.1144    16.4
0.0170           5.5452       5.4131       0.1321    18.9
0.0180           5.5476       5.3932       0.1544    22.1
0.0190           5.5536       5.3677       0.1858    26.6
0.0200           5.5530       5.3358       0.2172    31.1
0.0210           5.5596       5.2954       0.2642    37.8
0.0220           5.5565       5.2449       0.3116    44.6
0.0230           5.5629       5.1818       0.3812    54.6
0.0240           5.5682       5.1029       0.4653    66.7
0.0250           5.5774       5.0044       0.5729    82.1
0.0260           5.5708       4.8834       0.6873    98.5
0.0270           5.5689       4.7349       0.8340   119.5
0.0280           5.5713       4.5564       1.0150   145.4
0.0290           5.5680       4.3427       1.2253   175.6
0.0300           5.5824       4.0899       1.4925   213.8
0.0310           5.5736       3.7955       1.7781   254.7
0.0320           5.6049       3.4580       2.1469   307.6
0.0330           5.5930       3.0764       2.5166   360.5
0.0340           5.5680       2.6567       2.9113   417.1
0.0350           5.5425       2.2024       3.3401   478.5
0.0360           5.5519       1.7193       3.8326   549.1
0.0370           5.5549       1.2156       4.3393   621.7
0.0380           5.5793       0.7006       4.8787   699.0
0.0390           5.5840       0.1860       5.3980   773.3
0.0400           5.6137      -0.3144       5.9281   849.3
0.0410           5.5872      -0.7889       6.3761   913.5
0.0420           5.5727      -1.2249       6.7976   973.9
0.0430           5.5745      -1.6163       7.1908  1030.2
0.0440           5.5269      -1.9569       7.4838  1072.2
0.0450           5.4974      -2.2456       7.7430  1109.3
0.0460           5.4342      -2.4839       7.9181  1134.4
0.0470           5.4651      -2.6764       8.1415  1166.4
0.0480           5.4267      -2.8316       8.2583  1183.1
0.0490           5.4868      -2.9563       8.4432  1209.6
0.0500           5.5089      -3.0565       8.5654  1227.1
0.0510           5.4688      -3.1413       8.6101  1233.5
0.0520           5.4371      -3.2165       8.6536  1239.8
0.0530           5.4536      -3.2905       8.7441  1252.7
0.0540           5.4417      -3.3678       8.8094  1262.1
0.0550           5.4506      -3.4504       8.9009  1275.2
0.0560           5.4226      -3.5399       8.9625  1284.0
0.0570           5.3556      -3.6360       8.9916  1288.2
0.0580           5.3535      -3.7400       9.0935  1302.8
0.0590           5.3439      -3.8520       9.1958  1317.4
0.0600           5.2991      -3.9673       9.2665  1327.6
0.0610           5.2950      -4.0856       9.3806  1343.9
0.0620           5.2748      -4.2064       9.4812  1358.3
0.0630           5.2787      -4.3279       9.6067  1376.3
0.0640           5.2881      -4.4477       9.7357  1394.8
0.0650           5.2757      -4.5601       9.8359  1409.1
0.0660           5.2393      -4.6627       9.9019  1418.6
0.0670           5.2115      -4.7574       9.9689  1428.2
0.0680           5.2123      -4.8485      10.0608  1441.4
0.0690           5.2404      -4.9458      10.1861  1459.3
0.0700           5.2425      -5.0569      10.2994  1475.5
